,CountryName,ISO_Code,Congenital
0,Argentina,ARG,28.1
1,Bolivia,BOL,14.6
2,Brazil,BRA,22.1
3,Chile,CHL,39.9
4,Colombia,COL,24.8
5,Ecuador,ECU,21.7
6,Guyana,GUY,11.9
7,Paraguay,PRY,20.8
8,Peru,PER,23.1
9,Suriname,SUR,18.2
10,Trinidad & Tobago,TTO,22.6
11,Uruguay,URY,34.1
12,Venezuela,VEN,20.0
